playerID,name,source_group,primary_position,season,fangraphs_name,team,age,games,plate_appearances,at_bats,hits,home_runs,runs_batted_in,runs,stolen_bases,batting_average,on_base_percentage,slugging_percentage,on_base_plus_slugging,batting_fwar,batting_match_type
pujolal01,Albert Pujols,Statistical Induction,1B,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
pujolal01,Albert Pujols,Statistical Induction,1B,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
pujolal01,Albert Pujols,Statistical Induction,1B,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
pujolal01,Albert Pujols,Statistical Induction,1B,2011,Albert Pujols,2 Tms,36,1304,5612,5106,1336,254,870,657,39,0.261652957,0.318602993,0.458871915,0.777474908,10.404696763546948,matched
pujolal01,Albert Pujols,Statistical Induction,1B,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
pujolal01,Albert Pujols,Statistical Induction,1B,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
pujolal01,Albert Pujols,Statistical Induction,1B,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
pujolal01,Albert Pujols,Statistical Induction,1B,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
pujolal01,Albert Pujols,Statistical Induction,1B,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
pujolal01,Albert Pujols,Statistical Induction,1B,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
pujolal01,Albert Pujols,Statistical Induction,1B,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
pujolal01,Albert Pujols,Statistical Induction,1B,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
pujolal01,Albert Pujols,Statistical Induction,1B,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
pujolal01,Albert Pujols,Statistical Induction,1B,2021,Albert Pujols,3 Tms,41,218,647,582,148,41,118,71,3,0.254295532,0.316846986,0.49484536,0.811692346,2.114249536678966,matched
pujolal01,Albert Pujols,Statistical Induction,1B,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
rodrial01,Alex Rodriguez,Statistical Induction,SS,1994,Alex Rodriguez,SEA,21,790,3515,3126,966,189,595,627,133,0.309021113,0.373535295,0.56078055,0.934315845,34.994260026911704,matched
rodrial01,Alex Rodriguez,Statistical Induction,SS,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
rodrial01,Alex Rodriguez,Statistical Induction,SS,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
rodrial01,Alex Rodriguez,Statistical Induction,SS,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
rodrial01,Alex Rodriguez,Statistical Induction,SS,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
rodrial01,Alex Rodriguez,Statistical Induction,SS,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
rodrial01,Alex Rodriguez,Statistical Induction,SS,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
rodrial01,Alex Rodriguez,Statistical Induction,SS,2001,Alex Rodriguez,2 Tms,30,1513,6691,5700,1706,424,1236,1130,168,0.299298245,0.393962038,0.577192982,0.97115502,69.96089222413188,matched
rodrial01,Alex Rodriguez,Statistical Induction,SS,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
rodrial01,Alex Rodriguez,Statistical Induction,SS,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
rodrial01,Alex Rodriguez,Statistical Induction,SS,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
rodrial01,Alex Rodriguez,Statistical Induction,SS,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
rodrial01,Alex Rodriguez,Statistical Induction,SS,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
rodrial01,Alex Rodriguez,Statistical Induction,SS,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
rodrial01,Alex Rodriguez,Statistical Induction,SS,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
rodrial01,Alex Rodriguez,Statistical Induction,SS,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
