playerID,name,source_group,primary_position,batting_seasons_matched,batting_games,hits,home_runs,runs_batted_in,stolen_bases,career_batting_fwar,career_batting_average,pitching_seasons_matched,pitching_games,wins,losses,saves,strikeouts,career_pitching_fwar,career_total_fwar
hartnga01,Gabby Hartnett,Official Induction,C,20,1990,1912,236,1179,28,53.7,0.297,0,0,0,0,0,0,0,53.7
cartega01,Gary Carter,Official Induction,C,19,2295,2092,324,1225,39,69.4,0.262,0,0,0,0,0,0,0,69.4
sheffga01,Gary Sheffield,Statistical Induction,OF,22,2576,2689,509,1676,253,62.1,0.292,0,0,0,0,0,0,0,62.1
perryga01,Gaylord Perry,Official Induction,P,14,510,141,6,47,0,-2.7,0.131,22,777,314,265,11,3534,100.1,97.4
brettge01,George Brett,Official Induction,3B,21,2707,3154,317,1596,201,84.6,0.305,0,0,0,0,0,0,0,84.6
davisge01,George Davis,Official Induction,SS,20,2368,2660,73,1437,616,84.6,0.295,1,3,0,1,1,4,0,84.6
kellge01,George Kell,Official Induction,3B,15,1795,2054,78,870,51,38.2,0.306,0,0,0,0,0,0,0,38.2
kellyge01,George Kelly,Official Induction,1B,16,1622,1778,148,1020,65,29.2,0.297,1,1,1,0,0,2,0,29.2
sislege01,George Sisler,Official Induction,1B,15,2055,2812,102,1175,375,52.1,0.34,7,24,5,6,3,63,1.1,53.2
colege01,Gerrit Cole,Active Induction,P,7,195,41,3,15,0,0.7,0.163,12,317,153,80,0,2251,45.9,46.6
stantmi03,Giancarlo Stanton,Active Induction,OF,17,1731,1629,454,1173,42,45,0.259,0,0,0,0,0,0,0,45
hodgegi01,Gil Hodges,Official Induction,1B,18,2071,1921,370,1274,63,42.1,0.273,0,0,0,0,0,0,0,42.1
gosligo01,Goose Goslin,Official Induction,OF,18,2287,2735,248,1609,175,64.1,0.316,0,0,0,0,0,0,0,64.1
nettlgr01,Graig Nettles,Corrective Induction,3B,22,2700,2225,390,1314,32,65.7,0.248,0,0,0,0,0,0,0,65.7
maddugr01,Greg Maddux,Official Induction,P,23,759,272,5,84,11,1.8,0.171,23,744,355,227,0,3371,116.7,118.5
wilsoha01,Hack Wilson,Official Induction,OF,12,1348,1461,244,1063,52,42,0.307,0,0,0,0,0,0,0,42
newhoha01,Hal Newhouser,Official Induction,P,16,490,201,2,81,3,2.1,0.201,17,488,207,150,26,1796,59.7,61.8
aaronha01,Hank Aaron,Official Induction,OF,23,3298,3771,755,2297,240,136.3,0.305,0,0,0,0,0,0,0,136.3
greenha01,Hank Greenberg,Official Induction,1B,13,1394,1628,331,1276,58,60.6,0.313,0,0,0,0,0,0,0,60.6
killeha01,Harmon Killebrew,Official Induction,1B,22,2435,2086,573,1584,19,66.1,0.256,0,0,0,0,0,0,0,66.1
baineha01,Harold Baines,Official Induction,OF,22,2830,2866,384,1628,34,38.5,0.289,0,0,0,0,0,0,0,38.5
heilmha01,Harry Heilmann,Official Induction,OF,17,2148,2660,183,1539,113,68.6,0.342,0,0,0,0,0,0,0,68.6
hoopeha01,Harry Hooper,Official Induction,OF,17,2309,2466,75,817,375,52.4,0.281,1,1,0,0,0,0,-0,52.4
manushe01,Heinie Manush,Official Induction,OF,17,2008,2524,110,1183,114,43.3,0.33,0,0,0,0,0,0,0,43.3
pennohe01,Herb Pennock,Official Induction,P,22,620,232,4,103,1,0.6,0.191,22,617,240,162,32,1227,46.9,47.5
smithhi99,Hilton Smith,Official Induction,P,13,239,148,6,88,3,2.4,0.291,13,158,70,39,11,575,18.4,20.8
bakerfr01,Home Run Baker,Official Induction,3B,13,1575,1838,96,987,235,60.1,0.307,0,0,0,0,0,0,0,60.1
