playerID,image_url,name,source_group,bbref_url,image_source,mlbam_id
youngcy01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/124692/headshot/67/current",Cy Young,Official Hall,https://www.baseball-reference.com/players/y/youngcy01.shtml,MLB,124692
murphda05,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/119545/headshot/67/current",Dale Murphy,Passed-Over Players,https://www.baseball-reference.com/players/m/murphda05.shtml,MLB,119545
broutda01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/111524/headshot/67/current",Dan Brouthers,Official Hall,https://www.baseball-reference.com/players/b/broutda01.shtml,MLB,111524
bancrda01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/110524/headshot/67/current",Dave Bancroft,Official Hall,https://www.baseball-reference.com/players/b/bancrda01.shtml,MLB,110524
parkeda01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/120225/headshot/67/current",Dave Parker,Official Hall,https://www.baseball-reference.com/players/p/parkeda01.shtml,MLB,120225
stiebda01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/122791/headshot/67/current",Dave Stieb,Passed-Over Players,https://www.baseball-reference.com/players/s/stiebda01.shtml,MLB,122791
winfida01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/124448/headshot/67/current",Dave Winfield,Official Hall,https://www.baseball-reference.com/players/w/winfida01.shtml,MLB,124448
ortizda01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/120074/headshot/67/current",David Ortiz,Official Hall,https://www.baseball-reference.com/players/o/ortizda01.shtml,MLB,120074
wrightda03,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/431151/headshot/67/current",David Wright,Passed-Over Players,https://www.baseball-reference.com/players/w/wrighda03.shtml,MLB,431151
vanceda01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/123630/headshot/67/current",Dazzy Vance,Official Hall,https://www.baseball-reference.com/players/v/vanceda01.shtml,MLB,123630
whitede01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/124175/headshot/67/current",Deacon White,Official Hall,https://www.baseball-reference.com/players/w/whitede01.shtml,MLB,124175
eckerde01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/113726/headshot/67/current",Dennis Eckersley,Official Hall,https://www.baseball-reference.com/players/e/eckerde01.shtml,MLB,113726
jeterde01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/116539/headshot/67/current",Derek Jeter,Official Hall,https://www.baseball-reference.com/players/j/jeterde01.shtml,MLB,116539
allendi01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/110157/headshot/67/current",Dick Allen,Official Hall,https://www.baseball-reference.com/players/a/allendi01.shtml,MLB,110157
deandi01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/113168/headshot/67/current",Dizzy Dean,Official Hall,https://www.baseball-reference.com/players/d/deandi01.shtml,MLB,113168
drysddo01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/113581/headshot/67/current",Don Drysdale,Official Hall,https://www.baseball-reference.com/players/d/drysddo01.shtml,MLB,113581
suttodo01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/123006/headshot/67/current",Don Sutton,Official Hall,https://www.baseball-reference.com/players/s/suttodo01.shtml,MLB,123006
